keyword,positiveprob,negativeprob
even,0.07710555555555555,0.1328872222222222
sound,0.03306055555555556,0.03474611111111111
track,0.012993888888888888,0.008286666666666666
beautiful!,0.000525,4.3333333333333334e-05
paints,0.0008438888888888889,0.0003916666666666667
mind,0.012868333333333334,0.010507777777777777
well,0.09908944444444444,0.05315555555555555
would,0.14240166666666668,0.21910277777777779
recomend,0.004568888888888889,0.0022838888888888887
people,0.051062222222222224,0.057343333333333336
hate,0.005327777777777778,0.012537777777777778
game,0.02200611111111111,0.02414388888888889
music!,0.00133,0.00040833333333333336
played,0.014293888888888889,0.011996111111111112
Cross,0.00059,0.0006744444444444444
games,0.00746,0.006902222222222222
ever,0.055235,0.056155
best,0.10586555555555556,0.035245
backs,0.0004405555555555556,0.00042722222222222223
away,0.018318888888888888,0.02875888888888889
crude,0.0003227777777777778,0.0008061111111111111
takes,0.02181388888888889,0.01531111111111111
step,0.00538,0.003943333333333333
grate,0.0002338888888888889,0.0002627777777777778
guitars,0.0014138888888888888,0.0007438888888888889
soulful,0.0012894444444444444,0.00019944444444444445
impress,0.0006077777777777778,0.0008866666666666667
anyone,0.04201611111111111,0.026265555555555556
cares,0.001105,0.0013616666666666666
soundtrack,0.004626666666666667,0.0027344444444444443
anything.,0.0016477777777777777,0.004563888888888889
reading,0.05028777777777778,0.04731888888888889
lot,0.04736611111111111,0.04041388888888889
reviews,0.01669722222222222,0.036658333333333334
saying,0.005436111111111111,0.010132777777777777
figured,0.0032016666666666665,0.005640555555555556
I'd,0.016583888888888888,0.023354444444444445
write,0.010148333333333334,0.018051666666666667
review,0.017909444444444443,0.025621666666666668
disagree,0.0012772222222222221,0.001246111111111111
bit.,0.0017872222222222222,0.00146
ultimate,0.0022316666666666665,0.001055
masterpiece.,0.001645,0.0004388888888888889
music,0.053011666666666665,0.03271944444444445
timeless,0.0019933333333333335,0.000265
listening,0.014396666666666667,0.009565555555555556
years,0.05393277777777778,0.03829055555555556
beauty,0.0039161111111111115,0.0013844444444444444
simply,0.013887777777777778,0.020996666666666667
refuses,0.00037666666666666664,0.0011516666666666667
price,0.03520722222222222,0.023325
tag,0.0006772222222222222,0.0010327777777777779
pretty,0.03121777777777778,0.03256944444444444
must,0.04953777777777778,0.028573888888888888
say,,0.005091111111111111,0.006879444444444444
going,0.03621055555555556,0.053594444444444445
buy,0.057515555555555556,0.10886055555555556
cd,0.018445,0.01227
much,0.09403555555555555,0.11792388888888888
money,,0.0024,0.007358333333333333
one,0.22128277777777777,0.2261761111111111
feel,0.03715555555555555,0.031809444444444446
worth,0.04846388888888889,0.053225
every,0.05485333333333333,0.04098888888888889
penny.,0.0010677777777777777,0.0002577777777777778
Amazing!,0.0008894444444444444,4.277777777777778e-05
favorite,0.037089444444444446,0.008975555555555556
time,,0.012490555555555555,0.014044444444444444
hands,0.006875555555555556,0.005446111111111111
down.,0.012037777777777777,0.007438888888888889
intense,0.0026461111111111112,0.00091
sadness,0.0005744444444444445,0.00018611111111111112
(which,0.005606666666666667,0.008139444444444444
means,0.005858888888888889,0.008101666666666667
you've,0.007508333333333333,0.005680555555555556
hope,0.017668333333333335,0.01840722222222222
